FCL code,FCL label,HS code,If partial,Irrigated_Crops,Match,,,HS6
104,Flour of Mixed Grain,110320,*,,,,,
295,Flour of Mustard Seed,210330,*,,,,,
343,Flour of Oilseeds,120810,*,,,,,
343,Flour of Oilseeds,120890,*,,,,,
117,Flour of Potatoes,110510,*,,,,,
117,Flour of Potatoes,110520,*,,,,,
212,Flour of Pulses,110610,*,,,,,
38,Flour of Rice,110290,*,,,,,
38,Flour of Rice,110319,*,,,,,
38,Flour of Rice,110320,*,,,,,
150,Flour of Roots and Tubers nes,110620,*,,,,,
72,Flour of Rye,110320,*,,,,,
72,Flour of Rye,110319,*,,,,,
72,Flour of Rye,110210,*,,,,,
84,Flour of Sorghum,110290,*,,,,,
84,Flour of Sorghum,110319,*,,,,,
84,Flour of Sorghum,110320,*,,,,,
98,Flour of Triticale,110320,*,,,,,
98,Flour of Triticale,110290,*,,,,,
98,Flour of Triticale,110319,*,,,,,
16,Flour of Wheat,110100,*,,,,,
16,Flour of Wheat,110311,*,,,,,
16,Flour of Wheat,110320,*,,,,,
1439,"Fluoroacetamide, monocrotophos & phosphamidon (Trade)",292412,*,,,,,
94,Fonio,100890,*,,,,,
1232,Food Preparations nes,220900,*,,,,,
1232,Food Preparations nes,210690,*,,,,,
1232,Food Preparations nes,210610,*,,,,,
1232,Food Preparations nes,210420,*,,,,,
1232,Food Preparations nes,210390,*,,,,,
1232,Food Preparations nes,210320,*,,,,,
1232,Food Preparations nes,210410,*,,,,,
1232,Food Preparations nes,210220,*,,,,,
1232,Food Preparations nes,210210,*,,,,,
1232,Food Preparations nes,210230,*,,,,,
1232,Food Preparations nes,190240,*,,,,,
1232,Food Preparations nes,190230,*,,,,,
1232,Food Preparations nes,190220,*,,,,,
1232,Food Preparations nes,41000,*,,,,,
115,"Food Preparations of Flour, Meal or Malt Extract",190190,*,,,,,
1259,"Food Waste, Prep. for Feed",230700,*,,,,,
1259,"Food Waste, Prep. for Feed",230990,*,,,,,
653,Food Wastes,230700,*,,,,,
653,Food Wastes,230990,*,,,,,
651,Forage Products nes,121490,*,,,,,
118,Frozen Potatoes,71010,*,,,,,
154,"Fructose, Chemically Pure",170250,*,,,,,
620,"Fruit, dried nes",81340,*,,,,,
620,"Fruit, dried nes",81350,*,,,,,
620,"Fruit, dried nes",81330,*,,,,,
619,"Fruit, fresh nes",81090,*,,,,,
625,"Fruit, Nuts, Peel, Sugar Preserved",200600,*,,,,,
623,"Fruit, prepared nes",200892,*,,,,,
623,"Fruit, prepared nes",200891,*,,,,,
623,"Fruit, prepared nes",200880,*,,,,,
623,"Fruit, prepared nes",200870,*,,,,,
623,"Fruit, prepared nes",200860,*,,,,,
623,"Fruit, prepared nes",200850,*,,,,,
623,"Fruit, prepared nes",200840,*,,,,,
623,"Fruit, prepared nes",200830,*,,,,,
623,"Fruit, prepared nes",200791,*,,,,,
623,"Fruit, prepared nes",200190,*,,,,,
623,"Fruit, prepared nes",81400,*,,,,,
623,"Fruit, prepared nes",81290,*,,,,,
623,"Fruit, prepared nes",81210,*,,,,,
623,"Fruit, prepared nes",81190,*,,,,,
623,"Fruit, prepared nes",81120,*,,,,,
623,"Fruit, prepared nes",81110,*,,,,,
