"FCL code","FCL label","HS code","If partial"
"0623","Fruit, prepared nes","081120","*"
"0623","Fruit, prepared nes","081110","*"
"0623","Fruit, prepared nes","200799","*"
"0623","Fruit, prepared nes","200899","*"
"0624","Flour of Fruits","110630","*"
"0625","Fruit, Nuts, Peel, Sugar Preserved","200600","*"
"0626","Homogenized Cooked Fruit, Prepared","200710","*"
"0628","Pulp, Waste of Fruit for Feed","230800","*"
"0629","Beet Tops","230800","*"
"0630","Cane Tops","230800","*"
"0631","Waters, Ice and Snow","220110","*"
"0631","Waters, Ice and Snow","220190","*"
"0632","Alcohol, Non-Food Purposes","220710","*"
"0632","Alcohol, Non-Food Purposes","220720","*"
"0633","Beverages, Non-Alcoholic","220290","*"
"0633","Beverages, Non-Alcoholic","220210","*"
"0634","Beverages, Distilled Alcoholic","220820","*"
"0634","Beverages, Distilled Alcoholic","220830","*"
"0634","Beverages, Distilled Alcoholic","220840","*"
"0634","Beverages, Distilled Alcoholic","220850","*"
"0634","Beverages, Distilled Alcoholic","220860","*"
"0634","Beverages, Distilled Alcoholic","220870","*"
"0634","Beverages, Distilled Alcoholic","220890","*"
"0635","Straw and Husks","121300","*"
"0636","Maize for forage","121490","*"
"0637","Sorghum for forage","121490","*"
"0638","Rye grass for forage","121490","*"
"0639","Grasses nes for forage","121490","*"
"0640","Clover for forage","121490","*"
"0641","Alfalfa for forage","121490","*"
"0642","Green oilseeds for silage","121490","*"
"0643","Legumes for silage","121490","*"
"0644","Cabbage for fodder","121490","*"
"0645","Pumpkins for fodder","121490","*"
"0646","Turnips for fodder","121490","*"
"0647","Beets for fodder","121490","*"
"0648","Carrots for fodder","121490","*"
"0649","Swedes for fodder","121490","*"
"0650","Leaves, Tops and Vines nes","230800","*"
"0651","Forage Products nes","121490","*"
"0652","Vegetable Products for Feed nes","230800","*"
"0653","Food Wastes","230700","*"
"0653","Food Wastes","230990","*"
"0655","Vegetables, roots fodder nes","121490","*"
"0656","Coffee green","090111","*"
"0657","Coffee, Roasted","090122","*"
"0657","Coffee, Roasted","090112","*"
"0657","Coffee, Roasted","090121","*"
"0658","Coffee Substitutes","090190","*"
"0659","Coffee Extracts","210111","*"
"0659","Coffee Extracts","210112","*"
"0659","Coffee Extracts","210130","*"
"0660","Coffee Husks and Skins","090190","*"
"0661","Cocoa beans","180100","*"
"0662","Cocoa Paste","180310","*"
"0663","Cocoa Husks and Shells","180200","*"
"0664","Cocoa Butter","180400","*"
"0665","Cocoa Powder and Cake","180320","*"
"0665","Cocoa Powder and Cake","180500","*"
"0666","Chocolate Products nes","180610","*"
"0666","Chocolate Products nes","180620","*"
"0666","Chocolate Products nes","180631","*"
"0666","Chocolate Products nes","180632","*"
"0666","Chocolate Products nes","180690","*"
"0667","Tea","090240","*"
"0667","Tea","090230","*"
"0667","Tea","090220","*"
"0667","Tea","090210","*"
"0671","Mate","090300","*"
"0672","Extracts of Tea and Mate","210120","*"
"0674","Tea nes","121190","*"
"0677","Hops","121010","*"
"0677","Hops","121020","*"
"0687","Pepper","090411","*"
"0687","Pepper","090412","*"
"0689","Pimento","090420","*"
"0692","Vanilla","090500","*"
"0693","Cinnamon (canella)","090611","*"
"0693","Cinnamon (canella)","090619","*"
"0693","Cinnamon (canella)","090620","*"
"0698","Cloves","090700","*"
"0702","Nutmeg, mace, cardamoms","090810","*"
"0702","Nutmeg, mace, cardamoms","090820","*"
"0702","Nutmeg, mace, cardamoms","090830","*"
"0711","Anise, badian, fennel","090950","*"
"0711","Anise, badian, fennel","090940","*"
"0711","Anise, badian, fennel","090920","*"
"0711","Anise, badian, fennel","090930","*"
"0711","Anise, badian, fennel","090910","*"
"0720","Ginger","091010","*"
"0723","Spices nes","091020","*"
"0723","Spices nes","091030","*"
"0723","Spices nes","091091","*"
"0723","Spices nes","091099","*"
"0737","Oil of citronella","330129","*"
"0748","Peppermint, Spearmint","121190","*"
"0753","Essential oils nes","330190","*"
"0753","Essential oils nes","330130","*"
"0753","Essential oils nes","330129","*"
"0753","Essential oils nes","330125","*"
"0753","Essential oils nes","330112","*"
"0753","Essential oils nes","330119","*"
"0753","Essential oils nes","330113","*"
"0753","Essential oils nes","330124","*"
"0754","Pyrethrum, dried flowers","121190","*"
"0755","Pyrethrum Extract","130219","*"
"0756","Pyrethrum Marc","121190","*"
"0767","Cotton Lint","520100","*"
"0768","Cotton, Carded or Combed","520300","*"
"0769","Cotton Waste","520210","*"
"0769","Cotton Waste","520291","*"
"0769","Cotton Waste","520299","*"
"0770","Cotton Linters","140420","*"
"0771","Flax, raw or retted","530110","*"
"0773","Flax fibre and tow","530121","*"
"0773","Flax fibre and tow","530129","*"
"0774","Flax tow and waste","530130","*"
"0777","Hemp fibre and tow","530210","*"
"0777","Hemp fibre and tow","530290","*"
"0778","Kapok fibre","530500","*"
"0780","Jute","530310","*"
"0780","Jute","530390","*"
"0782","Jute-like fibres","530310","*"
"0782","Jute-like fibres","530390","*"
"0788","Ramie","530500","*"
"0789","Sisal","530500","*"
"0800","Agave fibres nes","530500","*"
"0809","Abaca manila hemp","530500","*"
"0813","Coir","530500","*"
"0821","Fibre crops nes","530500","*"
"0826","Tobacco leaves","240110","*"
"0826","Tobacco leaves","240120","*"
"0826","Tobacco leaves","240130","*"
"0828","Cigarettes","240220","*"
"0828","Cigarettes","240290","*"
"0829","Cigars and Cheroots","240290","*"
"0829","Cigars and Cheroots","240210","*"
"0831","Tobacco Products nes","240310","*"
"0831","Tobacco Products nes","240391","*"
"0831","Tobacco Products nes","240399","*"
"0836","Natural rubber","400110","*"
"0837","Rubber, Natural (Dry)","400121","*"
"0837","Rubber, Natural (Dry)","400122","*"
"0837","Rubber, Natural (Dry)","400129","*"
"0839","Natural gums","400130","*"
"0840","Compound Feed, Cattle","230990","*"
"0841","Compound Feed, Poultry","230990","*"
"0842","Compound Feed, Pigs","230990","*"
"0843","Pet Food","230910","*"
"0845","Compound Feed nes","230990","*"
"0846","Gluten Feed and Meal","230310","*"
"0849","Feed Yeast","230990","*"
"0850","Feed Supplements","230990","*"
"0851","Non-Protein Nitrogens","230990","*"
"0852","Other Concentrates nes","230990","*"
"0853","Vitamins","230990","*"
"0854","Feed Additives","230990","*"
"0855","Feed Minerals","230990","*"
"0857","Hay, non leguminous","121490","*"
"0858","Hay (Clover, Lucerne, etc.)","121490","*"
"0859","Hay nes","121490","*"
"0862","Alfalfa Meal and Pellets","121410","*"
"0866","Cattle","010210","*"
"0866","Cattle","010290","*"
"0867","Meat of cattle","020220","*"
"0867","Meat of cattle","020210","*"
"0867","Meat of cattle","020110","*"
"0867","Meat of cattle","020120","*"
"0868","Offals of cattle, edible","020610","*"
"0868","Offals of cattle, edible","020621","*"
"0868","Offals of cattle, edible","020622","*"
"0868","Offals of cattle, edible","020629","*"
"0868","Offals of cattle, edible","050400","*"
"0869","Fat of cattle","150200","*"
"0870","Meat of cattle, boneless","020130","*"
"0870","Meat of cattle, boneless","020230","*"
"0871","Cattle, Butcher Fat","150200","*"
"0872","Beef and Veal, Dried, Salted, Smoked","021020","*"
"0873","Meat Extracts","160300","*"
"0874","Sausages of Beef and Veal","160100","*"
"0875","Beef and Veal Preparations nes","160250","*"
"0877","Homogenized Meat Preparations","160210","*"
"0878","Liver Preparations","160220","*"
"0882","Cow milk, whole (fresh)","040120","*"
"0882","Cow milk, whole (fresh)","040130","*"
"0883","Standardized Milk","040130","*"
"0883","Standardized Milk","040110","*"
"0883","Standardized Milk","040120","*"
"0885","Cream, Fresh","040120","*"
"0885","Cream, Fresh","040130","*"
"0886","Butter of Cow Milk","040510","*"
"0886","Butter of Cow Milk","040520","*"
"0887","Ghee from Cow Milk","040590","*"
"0888","Skim Milk of Cows","040110","*"
"0888","Skim Milk of Cows","040120","*"
"0889","Whole Milk, Condensed","040299","*"
"0890","Whey, Condensed","040410","*"
"0891","Yoghurt","040310","*"
"0892","Yoghurt, Concentrated or Unconcent","040310","*"
"0893","Buttermilk, Curdled Milk, Acidified Milk","040390","*"
"0894","Whole Milk, Evaporated","040291","*"
"0895","Skim Milk, Evaporated","040291","*"
"0896","Skim Milk, Condensed","040299","*"
"0897","Dry Whole Cow Milk","040221","*"
"0897","Dry Whole Cow Milk","040229","*"
"0898","Dry Skim Cow Milk","040210","*"
"0899","Dry Buttermilk","040390","*"
"0900","Dry Whey","040410","*"
"0901","Cheese from Whole Cow Milk","040610","*"
"0901","Cheese from Whole Cow Milk","040620","*"
"0901","Cheese from Whole Cow Milk","040630","*"
"0901","Cheese from Whole Cow Milk","040640","*"
"0901","Cheese from Whole Cow Milk","040690","*"
"0903","Whey, Fresh","040410","*"
"0904","Cheese from Skimmed Cow Milk","040690","*"
"0904","Cheese from Skimmed Cow Milk","040640","*"
"0904","Cheese from Skimmed Cow Milk","040620","*"
"0904","Cheese from Skimmed Cow Milk","040610","*"
"0904","Cheese from Skimmed Cow Milk","040630","*"
"0905","Whey Cheese","040610","*"
