iso_o,iso_o_num,iso_d,iso_d_num,contig,dist,distcap
THA,C764,AFG,C004,0,3903.415,3903.415
GIN,C324,AFG,C004,0,8955.442,8955.442
MUS,C480,AFG,C004,0,6210.945,6210.945
POL,C616,AFG,C004,0,4267.977,4267.977
SHN,C654,AFG,C004,0,9691.432,9691.432
VCT,C670,AFG,C004,0,12577.82,12577.82
BGR,C100,AFG,C004,0,4043.005,4043.005
GNQ,C226,AFG,C004,0,7088.998,7088.998
AZE,C031,AFG,C004,0,1822.217,1822.217
AIA,C660,AFG,C004,0,12292.16,12292.16
BOL,C068,AFG,C004,0,15349.95,15240.55
TUV,C798,AFG,C004,0,12382.26,12382.26
NER,C562,AFG,C004,0,7082.385,7082.385
HTI,C332,AFG,C004,0,12861,12861
TCD,C148,AFG,C004,0,5989.595,5989.595
HKG,C344,AFG,C004,0,4566.617,4566.617
PRT,C620,AFG,C004,0,6791.342,6791.342
MHL,C584,AFG,C004,0,10652.17,10652.17
HRV,C191,AFG,C004,0,4608.2,4608.2
MYS,C458,AFG,C004,0,4846.316,4846.316
COG,C178,AFG,C004,0,7100.583,7100.583
ISL,C352,AFG,C004,0,6658.555,6658.555
BMU,C060,AFG,C004,0,11177.66,11177.66
TUN,C788,AFG,C004,0,5252.618,5252.618
VNM,C704,AFG,C004,0,3884.103,3884.103
COL,C170,AFG,C004,0,14288.69,14288.69
SVK,C703,AFG,C004,0,4508.77,4508.77
CIV,C384,AFG,C004,0,8144.624,8165.951
NLD,C528,AFG,C004,0,5361.4,5361.4
GNB,C624,AFG,C004,0,8805.014,8805.014
FRO,C234,AFG,C004,0,5959.883,5959.883
NRU,C520,AFG,C004,0,10757.73,10757.73
GLP,C312,AFG,C004,0,12384.11,12384.11
BEN,C204,AFG,C004,0,7481.006,7450.474
DOM,C214,AFG,C004,0,12709.28,12709.28
COK,C184,AFG,C004,0,15044.61,15044.61
PAN,C591,AFG,C004,0,14179.02,14179.02
TKL,C772,AFG,C004,0,13214.7,13214.7
UGA,C800,AFG,C004,0,5380.85,5380.85
SAU,C682,AFG,C004,0,2425.437,2425.437
ATG,C028,AFG,C004,0,12297.09,12297.09
NZL,C554,AFG,C004,0,13762,13762
BFA,C854,AFG,C004,0,7497.595,7497.595
FRA,C250,AFG,C004,0,5590.381,5590.381
KWT,C414,AFG,C004,0,2079.553,2079.553
ABW,C533,AFG,C004,0,13257.81,13257.81
TJK,C762,AFG,C004,1,459.2474,459.2474
BLR,C112,AFG,C004,0,3880.9,3880.9
PRY,C600,AFG,C004,0,14862.55,14862.55
LBR,C430,AFG,C004,0,8699.117,8699.117
ZAR,,AFG,C004,0,7100.062,7100.062
JOR,C400,AFG,C004,0,3096.229,3096.229
TMP,,AFG,C004,0,7622.778,7622.778
WLF,C876,AFG,C004,0,13094.98,13094.98
GRC,C300,AFG,C004,0,4058.47,4058.47
KOR,C410,AFG,C004,0,5131.888,5131.888
FJI,C242,AFG,C004,0,12880.35,12880.35
JPN,C392,AFG,C004,0,6278.016,6278.016
BTN,C064,AFG,C004,0,2103.501,2103.501
AFG,C004,AFG,C004,0,303.7614,303.7614
SYC,C690,AFG,C004,0,4589.381,4589.381
MDV,C462,AFG,C004,0,3406.564,3406.564
TUR,C792,AFG,C004,0,3581.608,3254.253
ETH,C231,AFG,C004,0,4196.206,4196.206
MAR,C504,AFG,C004,0,6811.536,6811.536
TGO,C768,AFG,C004,0,7601.833,7601.833
SVN,C705,AFG,C004,0,4719.426,4719.426
MRT,C478,AFG,C004,0,8455.042,8455.042
TON,C776,AFG,C004,0,13625,13625
NIU,C570,AFG,C004,0,13997.75,13997.75
OMN,C512,AFG,C004,0,1587.942,1587.942
MLT,C470,AFG,C004,0,4906.982,4906.982
MOZ,C508,AFG,C004,0,7760.658,7760.658
IRN,C364,AFG,C004,1,1620.826,1620.826
LBY,C434,AFG,C004,0,5133.119,5133.119
BRN,C096,AFG,C004,0,5741.141,5741.141
CZE,C203,AFG,C004,0,4708.024,4708.024
WSM,C882,AFG,C004,0,12020.44,12020.44
DNK,C208,AFG,C004,0,4857.692,4857.692
BRA,C076,AFG,C004,0,13771.76,13470.08
ZMB,C894,AFG,C004,0,7048.76,7048.76
CRI,C188,AFG,C004,0,14334.57,14334.57
ZAF,C710,AFG,C004,0,9273.133,7977.64
URY,C858,AFG,C004,0,15100.65,15100.65
TKM,C795,AFG,C004,1,1042.731,1042.731
CMR,C120,AFG,C004,0,6842.123,6842.123
BWA,C072,AFG,C004,0,8023.767,8023.767
LSO,C426,AFG,C004,0,8347.427,8347.427
FIN,C246,AFG,C004,0,4254.794,4254.794
PYF,C258,AFG,C004,0,15755.99,15755.99
GRD,C308,AFG,C004,0,12707.12,12707.12
ZWE,C716,AFG,C004,0,7088.189,7088.189
REU,C638,AFG,C004,0,6333.151,6333.151
BGD,C050,AFG,C004,0,2376.978,2376.978
KIR,C296,AFG,C004,0,11202.85,11202.85
KGZ,C417,AFG,C004,0,1043.715,1043.715
DJI,C262,AFG,C004,0,3668.116,3668.116
KHM,C116,AFG,C004,0,4421.175,4421.175
USA,C840,AFG,C004,0,10847.88,11155.07
GTM,C320,AFG,C004,0,14157.62,14157.62
ESP,C724,AFG,C004,0,6290.493,6290.493
KAZ,C398,AFG,C004,0,1180.169,1862.502
COM,C174,AFG,C004,0,5824.411,5824.411
SLE,C694,AFG,C004,0,8795.566,8795.566
GHA,C288,AFG,C004,0,7786.48,7786.48
PAK,C586,AFG,C004,1,374.6522,374.6522
LKA,C144,AFG,C004,0,3261.061,3261.061
FSM,C583,AFG,C004,0,9494.704,9494.704
IRQ,C368,AFG,C004,0,2285.353,2285.353
IRL,C372,AFG,C004,0,6085.926,6085.926
MEX,C484,AFG,C004,0,13906.07,13906.07
CAN,C124,AFG,C004,0,10768.89,10461.27
PHL,C608,AFG,C004,0,5617.854,5617.854
PRI,C630,AFG,C004,0,12479.58,12479.58
GEO,C268,AFG,C004,0,2270.991,2270.991
ARM,C051,AFG,C004,0,2266.15,2266.15
MNG,C496,AFG,C004,0,3443.545,3443.545
EGY,C818,AFG,C004,0,3584.319,3584.319
PNG,C598,AFG,C004,0,9528.009,9528.009
LUX,C442,AFG,C004,0,5304.336,5304.336
BIH,C070,AFG,C004,0,4428.614,4428.614
TZA,C834,AFG,C004,0,5574.784,5731.842
CHE,C756,AFG,C004,0,5247.043,5247.043
YEM,C887,AFG,C004,0,3279.877,3279.877
GAB,C266,AFG,C004,0,7263.688,7263.688
SUR,C740,AFG,C004,0,12679.81,12679.81
SMR,C674,AFG,C004,0,4901.499,4901.499
BHR,C048,AFG,C004,0,2004.434,2004.434
TCA,C796,AFG,C004,0,12522.61,12522.61
ERI,C232,AFG,C004,0,3706.288,3706.288
ROM,,AFG,C004,0,3813.935,3813.935
CAF,C140,AFG,C004,0,6188.315,6188.315
KEN,C404,AFG,C004,0,5221.581,5221.581
SGP,C702,AFG,C004,0,5157.892,5157.892
DEU,C276,AFG,C004,0,5226.514,4783.57
CUB,C192,AFG,C004,0,12952.4,12952.4
AGO,C024,AGO,C024,0,419.9666,419.9666
BGR,C100,AGO,C024,0,5822.248,5822.248
GIB,C292,AGO,C024,0,5370.596,5370.596
MAC,C446,AGO,C024,0,11443.56,11443.56
ALB,C008,AGO,C024,0,5623.827,5623.827
IDN,C360,AGO,C024,0,10294.87,10294.87
CXR,C162,AGO,C024,0,10106.6,10106.6
LBN,C422,AGO,C024,0,5301.993,5301.993
ARG,C032,AGO,C024,0,7792.03,7792.03
TCD,C148,AGO,C024,0,2345.135,2345.135
BRB,C052,AGO,C024,0,8414.008,8414.008
STP,C678,AGO,C024,0,1239.145,1239.145
JOR,C400,AGO,C024,0,5140.358,5140.358
UZB,C860,AGO,C024,0,7977.375,7977.375
HND,C340,AGO,C024,0,11377.58,11377.58
IRN,C364,AGO,C024,0,6368.018,6368.018
BHS,C044,AGO,C024,0,10490.61,10490.61
CRI,C188,AGO,C024,0,10980.7,10980.7
KNA,C659,AGO,C024,0,8842.232,8842.232
FRO,C234,AGO,C024,0,8073.677,8073.677
SDN,C729,AGO,C024,0,3447.449,3447.449
SVN,C705,AGO,C024,0,6111.597,6111.597
ANT,C530,AGO,C024,0,9383.188,9383.188
BRN,C096,AGO,C024,0,11386.53,11386.53
SPM,C666,AGO,C024,0,9206.762,9206.762
GUY,C328,AGO,C024,0,8109.865,8109.865
CYM,C136,AGO,C024,0,10823.14,10823.14
ITA,C380,AGO,C024,0,5645.243,5645.243
CPV,C132,AGO,C024,0,4839.974,4839.974
GRL,C304,AGO,C024,0,9737.886,9737.886
AUS,C036,AGO,C024,0,13528.2,13284.23
TKM,C795,AGO,C024,0,7002.799,7002.799
VUT,C548,AGO,C024,0,15999.4,15999.4
GMB,C270,AGO,C024,0,4132.186,4132.186
LKA,C144,AGO,C024,0,7594.32,7594.32
GRD,C308,AGO,C024,0,8613.741,8613.741
ECU,C218,AGO,C024,0,10205.4,10205.4
MMR,C104,AGO,C024,0,9555.35,9555.35
PCN,C612,AGO,C024,0,14553.54,14553.54
EST,C233,AGO,C024,0,7665.317,7665.317
SLE,C694,AGO,C024,0,3517.934,3517.934
MKD,C807,AGO,C024,0,5719.467,5719.467
TWN,C158,AGO,C024,0,12268.99,12268.99
CAF,C140,AGO,C024,0,1586.979,1586.979
SEN,C686,AGO,C024,0,4277.941,4277.941
JPN,C392,AGO,C024,0,13861.75,13861.75
BEL,C056,AGO,C024,0,6696.229,6696.229
IRQ,C368,AGO,C024,0,5736.821,5736.821
NCL,C540,AGO,C024,0,15503.07,15503.07
MDA,C498,AGO,C024,0,6403.256,6403.256
CCK,C166,AGO,C024,0,9114.437,9114.437
MWI,C454,AGO,C024,0,2314.207,2314.207
SOM,C706,AGO,C024,0,3760.601,3760.601
HTI,C332,AGO,C024,0,9868.396,9868.396
MAR,C504,AGO,C024,0,5221.762,5221.762
UKR,C804,AGO,C024,0,6802.643,6802.643
PRK,C408,AGO,C024,0,12578.15,12578.15
CYP,C196,AGO,C024,0,5332.035,5332.035
REU,C638,AGO,C024,0,4718.442,4718.442
MSR,C500,AGO,C024,0,8775.924,8775.924
AFG,C004,AGO,C024,0,7607.8,7607.8
IND,C356,AGO,C024,0,8025.968,8025.968
DMA,C212,AGO,C024,0,8654.339,8654.339
PRY,C600,AGO,C024,0,7684.19,7684.19
BMU,C060,AGO,C024,0,9436.543,9436.543
ESH,C732,AGO,C024,0,4917.631,4917.631
MNP,C580,AGO,C024,0,14824.51,14824.51
DOM,C214,AGO,C024,0,9602.552,9602.552
DJI,C262,AGO,C024,0,4015.184,4015.184
TJK,C762,AGO,C024,0,7803.152,7803.152
GHA,C288,AGO,C024,0,2192.395,2192.395
ROM,,AGO,C024,0,6066.591,6066.591
BWA,C072,AGO,C024,0,2223.578,2223.578
PAL,,AGO,C024,0,5027.387,5027.387
NIC,C558,AGO,C024,0,11252.12,11252.12
NGA,C566,AGO,C024,0,2017.813,2115.098
GBR,C826,AGO,C024,0,6837.594,6837.594
ISR,C376,AGO,C024,0,5096.148,5096.148
QAT,C634,AGO,C024,0,5620.981,5620.981
GLP,C312,AGO,C024,0,8708.249,8708.249
PLW,C585,AGO,C024,0,13562.46,13562.46
SUR,C740,AGO,C024,0,7771.882,7771.882
BDI,C108,AGO,C024,0,1878.576,1878.576
MDG,C450,AGO,C024,0,3857.428,3857.428
THA,C764,AGO,C024,0,9955.721,9955.721
TUN,C788,AGO,C024,0,5092.534,5092.534
